# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1664954581.64976 -0.024932 -0.543960 -0.000956 0.007633 -0.001570 -0.705646 0.708522 0.0003577501 0.0001106386 0.0002959436 0.0001344695 0.0001116186 0.0009031643 0.0070359628 0.0022783401 0.0003763769 0.0071533288 0.0005464564 0.0032903564
1664954581.75176 -0.002901 -0.495613 0.001367 0.003052 -0.005171 -0.708104 0.706082 0.0000095190 -0.0000000268 -0.0000032144 0.0000106328 0.0000045412 0.0004185916 0.0027718346 -0.0000047634 0.0000018812 0.0026568749 0.0000148135 0.0025914065
1664954581.85192 -0.003584 -0.575246 0.000995 0.005307 -0.003581 -0.707001 0.707184 0.0000085813 0.0000000418 -0.0000004935 0.0000089491 0.0000046487 0.0004164982 0.0027461162 0.0000022537 0.0000024074 0.0026559530 0.0000149555 0.0025901929
1664954581.95246 -0.004332 -0.646231 0.001968 0.003818 -0.005511 -0.707083 0.707099 0.0000077556 0.0000000060 0.0000016146 0.0000079000 0.0000055167 0.0004146995 0.0027768057 0.0000025657 0.0000020365 0.0026622342 0.0000140056 0.0025896635
1664954582.05263 -0.000870 -0.716764 0.001803 0.002319 -0.004864 -0.707098 0.707095 0.0000071413 -0.0000000065 0.0000022186 0.0000071801 0.0000042841 0.0004136460 0.0028122206 0.0000041001 0.0000015962 0.0026719989 0.0000134379 0.0025895895
1664954582.15253 0.002091 -0.782791 0.001300 0.001468 -0.003624 -0.707220 0.706983 0.0000066364 -0.0000000161 0.0000018689 0.0000067265 0.0000031965 0.0004127259 0.0028496091 0.0000058629 0.0000011685 0.0026839611 0.0000132541 0.0025899088
1664954582.25234 0.001788 -0.844426 0.000789 0.001710 -0.003444 -0.706956 0.707247 0.0000062640 -0.0000000469 0.0000016571 0.0000063368 0.0000032117 0.0004120252 0.0028881089 0.0000063754 0.0000006554 0.0027000496 0.0000137392 0.0025908343
1664954582.35237 0.001459 -0.905557 0.000415 0.002745 -0.002633 -0.706651 0.707552 0.0000059748 -0.0000000541 0.0000005639 0.0000060192 0.0000032164 0.0004113023 0.0029290139 0.0000067064 0.0000001629 0.0027185577 0.0000144698 0.0025919237
1664954582.45240 0.002106 -0.965065 -0.000770 0.003309 -0.001959 -0.706598 0.707605 0.0000057832 -0.0000000674 -0.0000003501 0.0000058465 0.0000032025 0.0004109029 0.0029733187 0.0000065095 -0.0000000589 0.0027361712 0.0000155740 0.0025930620
1664954582.55248 0.002536 -1.022890 -0.001819 0.001670 -0.003066 -0.706930 0.707275 0.0000055997 -0.0000000498 0.0000010788 0.0000057020 0.0000032711 0.0004104938 0.0030206885 0.0000063406 -0.0000002058 0.0027516474 0.0000169534 0.0025945830
1664954582.65281 0.000992 -1.095374 -0.001195 0.000839 -0.004831 -0.707180 0.707016 0.0000055078 -0.0000000093 0.0000027592 0.0000055231 0.0000034201 0.0004101754 0.0030831279 0.0000064019 -0.0000002103 0.0027759795 0.0000184208 0.0025969084
1664954582.75271 0.001802 -1.189116 -0.001732 0.002280 -0.003560 -0.706575 0.707625 0.0000053282 -0.0000000477 0.0000009031 0.0000053526 0.0000034848 0.0004100920 0.0031703071 0.0000059601 -0.0000000110 0.0027944636 0.0000195027 0.0025993979
1664954582.85255 0.003836 -1.288033 -0.001453 0.003813 -0.000298 -0.706591 0.707612 0.0000052588 -0.0000000550 -0.0000017436 0.0000053304 0.0000023562 0.0004095609 0.0032712442 0.0000080824 -0.0000002620 0.0028182608 0.0000204270 0.0026028218
1664954582.95264 0.010278 -1.378926 -0.000608 0.001157 0.001404 -0.706392 0.707818 0.0000051702 -0.0000000291 -0.0000013429 0.0000052707 -0.0000000646 0.0004093181 0.0033713722 0.0000113690 -0.0000004535 0.0028420660 0.0000209691 0.0026059262
1664954583.05259 0.009157 -1.465107 -0.001223 0.000318 -0.000502 -0.705584 0.708626 0.0000051285 -0.0000000425 0.0000001898 0.0000052752 0.0000005395 0.0004090351 0.0034716477 0.0000119780 -0.0000005325 0.0028798448 0.0000233033 0.0026103385
1664954583.15242 0.006477 -1.550335 -0.002373 0.000260 -0.002260 -0.706272 0.707936 0.0000050681 -0.0000000504 0.0000012513 0.0000052387 0.0000015523 0.0004088877 0.0035770522 0.0000103262 -0.0000006464 0.0029224765 0.0000260035 0.0026151084
1664954583.25237 0.007793 -1.630048 -0.002665 -0.000007 -0.002116 -0.704543 0.709659 0.0000050390 -0.0000000628 0.0000013528 0.0000051882 0.0000012313 0.0004086864 0.0036824841 0.0000118099 -0.0000008474 0.0029656607 0.0000286566 0.0026201546
1664954583.35235 0.010080 -1.699205 -0.003610 0.000913 0.000414 -0.701962 0.712214 0.0000050010 -0.0000000676 -0.0000006202 0.0000051469 0.0000003607 0.0004084588 0.0037751469 0.0000121189 -0.0000010249 0.0030011140 0.0000321273 0.0026248866
1664954583.45235 0.008975 -1.748974 -0.004975 0.000336 -0.001021 -0.698698 0.715416 0.0000049793 -0.0000000607 0.0000005901 0.0000051109 0.0000007767 0.0004082797 0.0038408198 0.0000091631 -0.0000011768 0.0030102718 0.0000341225 0.0026289251
1664954583.55253 0.009797 -1.801573 -0.004796 -0.002669 -0.006350 -0.694622 0.719342 0.0000050254 -0.0000000092 0.0000054012 0.0000049407 0.0000020209 0.0004079321 0.0039119453 0.0000071478 -0.0000013138 0.0030028408 0.0000319747 0.0026318278
1664954583.65256 0.021956 -1.874484 -0.004535 -0.005783 -0.004283 -0.689205 0.724530 0.0000050709 -0.0000000584 0.0000058963 0.0000049202 -0.0000009379 0.0004077768 0.0040343770 0.0000137952 -0.0000014114 0.0030215344 0.0000327241 0.0026358686
1664954583.75241 0.026707 -1.963948 -0.004998 -0.004284 -0.002840 -0.684737 0.728772 0.0000050964 -0.0000000392 0.0000040109 0.0000049429 -0.0000008734 0.0004077481 0.0041824069 0.0000162167 -0.0000015389 0.0030562781 0.0000347925 0.0026409097
1664954583.85242 0.029425 -2.054544 -0.004637 -0.002083 -0.001835 -0.682398 0.730975 0.0000051068 -0.0000000105 0.0000024096 0.0000049166 -0.0000002456 0.0004076744 0.0043324145 0.0000171592 -0.0000016058 0.0030917062 0.0000368020 0.0026463140
1664954583.95234 0.031992 -2.136885 -0.004341 -0.000763 -0.002515 -0.679780 0.733411 0.0000051315 0.0000000135 0.0000020436 0.0000049148 0.0000009230 0.0004075744 0.0044786947 0.0000186443 -0.0000016498 0.0031339063 0.0000395139 0.0026521787
1664954584.05225 0.038450 -2.212882 -0.005043 -0.000645 -0.002245 -0.677955 0.735100 0.0000050484 0.0000000108 0.0000018176 0.0000048704 0.0000007978 0.0004074403 0.0046201591 0.0000246286 -0.0000006785 0.0031665323 0.0000404140 0.0026564656
1664954584.15225 0.044972 -2.293830 -0.004591 0.000519 -0.001339 -0.676370 0.736560 0.0000050141 0.0000000370 0.0000007300 0.0000048488 0.0000007346 0.0004073517 0.0047708805 0.0000313390 -0.0000003315 0.0031997934 0.0000410498 0.0026615746
1664954584.25223 0.048991 -2.371839 -0.005566 0.002135 -0.000287 -0.674099 0.738638 0.0000049465 0.0000000107 -0.0000009555 0.0000047920 0.0000013219 0.0004071792 0.0049308001 0.0000368296 0.0000000861 0.0032344980 0.0000421146 0.0026664232
1664954584.35225 0.055617 -2.453257 -0.005057 0.003064 0.000497 -0.671459 0.741035 0.0000049388 0.0000000059 -0.0000018285 0.0000047803 0.0000014920 0.0004070892 0.0050764329 0.0000413889 0.0000001017 0.0032727311 0.0000438840 0.0026715309
1664954584.45224 0.062962 -2.529629 -0.003977 0.002664 0.000103 -0.668438 0.743763 0.0000049176 0.0000000184 -0.0000013281 0.0000047620 0.0000014952 0.0004070146 0.0052359605 0.0000487950 0.0000004271 0.0033133854 0.0000460228 0.0026773329
1664954584.55222 0.068224 -2.608100 -0.002953 0.002382 -0.002328 -0.664552 0.747235 0.0000049225 0.0000000282 0.0000002403 0.0000047781 0.0000025968 0.0004069682 0.0054053289 0.0000541076 0.0000008074 0.0033589352 0.0000476941 0.0026831916
1664954584.65223 0.071848 -2.695575 -0.002752 0.003594 -0.005292 -0.660015 0.751225 0.0000049865 0.0000000470 0.0000014312 0.0000048442 0.0000050363 0.0004069230 0.0055964735 0.0000585937 0.0000015148 0.0034066451 0.0000494528 0.0026893819
1664954584.75217 0.081843 -2.795105 -0.001733 0.005053 -0.004415 -0.655370 0.755278 0.0000048814 -0.0000000264 0.0000002522 0.0000047676 0.0000051413 0.0004067781 0.0058140915 0.0000711364 0.0000019806 0.0034405600 0.0000485117 0.0026931773
1664954584.85216 0.096541 -2.882798 -0.001597 0.003043 -0.004242 -0.649054 0.760724 0.0000049300 -0.0000000266 0.0000011132 0.0000047579 0.0000040828 0.0004067814 0.0060346342 0.0000867865 0.0000025465 0.0034935495 0.0000489679 0.0026990535
1664954584.95219 0.107510 -2.962516 -0.000709 0.001114 -0.004803 -0.640572 0.767882 0.0000050582 -0.0000000335 0.0000025665 0.0000047917 0.0000031125 0.0004068085 0.0062314675 0.0000988797 0.0000028935 0.0035502767 0.0000496511 0.0027042354
1664954585.05206 0.118095 -3.037036 0.001235 0.000471 -0.006896 -0.635155 0.772354 0.0000051347 0.0000000002 0.0000042528 0.0000048040 0.0000038420 0.0004067331 0.0064195421 0.0001082636 0.0000031570 0.0036043955 0.0000492515 0.0027090284
1664954585.15211 0.138420 -3.114025 0.003885 -0.003725 -0.008408 -0.632404 0.774584 0.0000052359 -0.0000000178 0.0000073808 0.0000047615 0.0000019746 0.0004066677 0.0066170946 0.0001299778 0.0000030712 0.0036553909 0.0000471433 0.0027133394
